ItemName,Author1,Author2,Copyright,LastRead,Genre,,,
Battlespace Bk 2,Ian Douglas ,,,9/24/2011,SF,,,
Honor: Among Enemies,David Weber,,,10/2/2011,SF,,,
Firstborn,Arthur C. Clarke,Stephen Baxter,,10/8/2011,SF,,,
Temporal Void,Peter F. Hamilton,,,10/16/2011,SF,,,
Evolutionary Void,Peter F. Hamilton,,,10/23/2011,SF,,,
Flash Forward,Robert J. Sawyer,,,11/1/2011,SF,,,
Honor: Honor Among Enemies,David Weber,,,11/5/2011,SF,,,
Diamond Dogs,Allastair Reynolds,,,11/4/2011,SF,,,
Terminal Freeze,Lincoln Child,,,11/10/2011,SF,,,
By Heresies Distressed,David Weber,,,12/7/2011,SF,,,
I am Number Four,Pittacus Lore,,,12/12/2011,SF,,,
The Reformer,S.M. Sterling,,2009,12/19/2011,SF,,,
Map of Bones,James Rollins,,2005,12/29/2011,SF,,,
Robopocalypse,Daniel H. Wilson,,2011,12/30/2011,SF,,,
Fallen Dragon,Peter F. Hamilton,,2002,1/3/2012,SF,,,
Under the Dome,Stephen King,,2009,1/8/2012,SF,,,
Starship Troopers,Robert A. Heinlein,,1959,1/10/2012,SF,,,
Duma Key,Stephen King,,2008,1/14/2012,SF,,,
A Mighty Fortress,David Weber,,2010,2/25/2012,SF,,,
Ender''s Game,Orson Scott Card,,,2/27/2012,SF,,,
The Hunger Games,Suzanne Collins,,,3/2/2012,SF,,,
Moon War,Ben Bova,,1998,3/4/2012,SF,,,
Catching Fire,Suzanne Collins,,2009,3/6/2012,SF,,,
Mockingjay,Suzanne Collins,,2010,3/11/2012,SF,,,
Gridlinked,Neal Asher,,2001,3/17/2012,SF,,,
Cell,Stephen King,,2006,3/31/2012,SF,,,
Wreck of the River of Stars,Michael Flynn,,,3/29/2012,SF,,,
HellHole,Kevin J. Anderson,,2010,4/10/2012,SF,,,
Michael Vey Cell 25,Richard Paul Evans,,2011,4/11/2012,SF,,,
Bag of Bones,Stephen King,,1998,4/27/2012,SF,,,
Dreamcatcher,Stephen King,,2001,5/3/2012,SF,,,
The Electric Church,Jeff Somers,,2007,5/7/2012,SF,,,
The Left Hand of God,Paul Hoffman,,2010,5/8/2012,SF,,,
Micro,Michael Crichton,,,6/12/2012,SF,,,
The Passage,Justin Cronin,,,6/18/2012,SF,,,
The Devil Colony,James Rollins,,,6/22/2012,SF,,,
Ready Player One,Ernest Cline,,,6/23/2012,SF,,,
Divergent,Veronica Roth,,,6/29/2012,SF,,,
Insurgent,Veronica Roth,,,6/30/2012,SF,,,
Worm,Mark Boden,,,7/10/2012,SF,,,
The Reality Dysfunction,Peter F. Hamilton,,,7/31/2012,SF,,,
Temporal Void,Peter F. Hamilton,,,8/3/2012,SF,,,
Neutronium Alchemist,Peter F. Hamilton,,,8/14/2012,SF,,,
Daemon ,Daniel Suarez,,,8/16/2012,SF,,,
Leviathans of Jupiter,Ben Bova,,,8/19/2012,SF,,,
Naked God,Peter F. Hamilton,,,8/30/2012,SF,,,
Fragment,Warren Fahy,,,9/1/2012,SF,,,
The Chosen,S. M. Stirling,David Drake,,9/17/2012,SF,,,
Fool,Christopher Moore,,,9/19/2012,SF,,,
The General,S. M. Stirling,David Drake,,9/23/2012,SF,,,
StarWars: Shadow Games,Maya Bonhoff,,,10/4/2012,SF,,,
Fallen Dragon,Peter F. Hamilton,,,10/14/2012,SF,,,
Heaven,Ian Stewart ,Jack Cohen,2004,10/24/2012,SF,,,
Freedom TM ,Daniel Suarez,,,10/26/2012,SF,,,
500,Matthew Quirk,,,10/28/2012,SF,,,
How Firm a Foundation,David Weber,,,11/11/2012,SF,,,
StarWars: Choices of One,Timothy Zahn,,2012,11/14/2012,SF,,,
The Diamond Age,Neal Stephenson,,,11/26/2012,SF,,,
Flashback,Dan Simmons,,2011,11/29/2012,SF,,,
Destroyer of Worlds,Larry Niven,Edward Lerner,2009,12/11/2012,SF,,,
